DNA Sequence,avg_reward,highest reward in an episode,the whole 10 episodes reward,what kind of mutaion 
"['C', 37, 'T', 'C', 41, 'T', 'C', 2, 'R', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",442.6,500,"[500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 267.0, 500.0, 181.0, 478.0]",change the activation fucntion of a layer
"['C', 50, 'T', 'C', 13, 'R', 'C', 2, 'T', 'C', 9, 'R', 'C', 64, 'T', 'C', 42, 'T', 'C', 38, 'R', 'C', 1]",437.7,500,"[271.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 106.0, 500.0, 500.0]",change the activation fucntion of a layer
"['C', 50, 'T', 'C', 13, 'R', 'C', 2, 'T', 'C', 9, 'R', 'C', 64, 'T', 'C', 42, 'R', 'C', 38, 'R', 'C', 1]",418.6,500,"[500.0, 500.0, 500.0, 500.0, 500.0, 189.0, 468.0, 259.0, 500.0, 270.0]",alter a layer: add
"['C', 50, 'T', 'C', 13, 'R', 'C', 2, 'T', 'C', 9, 'R', 'C', 64, 'T', 'C', 42, 'R', 'C', 38, 'R', 'C', 1]",418.6,500,[],identity
"['C', 50, 'T', 'C', 13, 'R', 'C', 2, 'T', 'C', 9, 'R', 'C', 64, 'T', 'C', 42, 'R', 'C', 38, 'R', 'C', 1]",418.6,500,[],identity
"['C', 50, 'T', 'C', 13, 'R', 'C', 2, 'T', 'C', 9, 'R', 'C', 64, 'T', 'C', 42, 'R', 'C', 38, 'R', 'C', 1]",418.6,500,[],identity
"['C', 50, 'T', 'C', 13, 'R', 'C', 2, 'T', 'C', 9, 'R', 'C', 64, 'T', 'C', 42, 'R', 'C', 38, 'R', 'C', 1]",418.6,500,[],identity
"['C', 50, 'T', 'C', 13, 'R', 'C', 2, 'T', 'C', 9, 'R', 'C', 64, 'T', 'C', 42, 'R', 'C', 38, 'R', 'C', 1]",418.6,500,[],identity
"['C', 50, 'T', 'C', 13, 'R', 'C', 2, 'T', 'C', 9, 'R', 'C', 64, 'T', 'C', 42, 'R', 'C', 38, 'R', 'C', 1]",418.6,500,[],identity
"['C', 50, 'T', 'C', 13, 'R', 'C', 2, 'T', 'C', 9, 'R', 'C', 64, 'T', 'C', 42, 'R', 'C', 38, 'R', 'C', 1]",418.6,500,[],identity
"['C', 50, 'T', 'C', 13, 'R', 'C', 2, 'T', 'C', 9, 'R', 'C', 64, 'T', 'C', 42, 'R', 'C', 38, 'R', 'C', 1]",418.6,500,[],identity
"['C', 50, 'T', 'C', 13, 'R', 'C', 2, 'T', 'C', 9, 'R', 'C', 64, 'T', 'C', 42, 'R', 'C', 38, 'R', 'C', 1]",418.6,500,[],identity
"['C', 50, 'T', 'C', 16, 'R', 'C', 2, 'T', 'C', 50, 'R', 'C', 64, 'T', 'C', 42, 'R', 'C', 38, 'R', 'C', 1]",389.7,500,"[136.0, 377.0, 500.0, 500.0, 429.0, 500.0, 260.0, 500.0, 500.0, 195.0]",alter a layer: add
"['C', 57, 'R', 'C', 41, 'T', 'C', 2, 'R', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",381.2,500,"[500.0, 213.0, 500.0, 337.0, 395.0, 380.0, 304.0, 367.0, 316.0, 500.0]",alter a layer: add
"['C', 50, 'T', 'C', 13, 'R', 'C', 2, 'T', 'C', 59, 'R', 'C', 55, 'T', 'C', 42, 'R', 'C', 38, 'R', 'C', 1]",370.6,500,"[241.0, 500.0, 425.0, 129.0, 500.0, 500.0, 376.0, 500.0, 171.0, 364.0]",alter a layer: add
"['C', 50, 'T', 'C', 16, 'R', 'C', 3, 'T', 'C', 9, 'R', 'C', 64, 'T', 'C', 42, 'R', 'C', 38, 'R', 'C', 1]",366.9,500,"[290.0, 221.0, 500.0, 448.0, 500.0, 500.0, 169.0, 339.0, 202.0, 500.0]",alter a layer: add
"['C', 50, 'T', 'C', 13, 'T', 'C', 2, 'T', 'C', 9, 'R', 'C', 64, 'T', 'C', 42, 'R', 'C', 38, 'R', 'C', 1]",355.1,500,"[165.0, 500.0, 500.0, 407.0, 290.0, 500.0, 187.0, 158.0, 344.0, 500.0]",change the activation fucntion of a layer
"['C', 51, 'R', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",341.5,500,"[160.0, 500.0, 328.0, 378.0, 422.0, 144.0, 490.0, 290.0, 208.0, 495.0]",remove a classical layer
"['C', 37, 'R', 'C', 38, 'T', 'C', 6, 'T', 'C', 5, 'T', 'C', 1]",340.8,500,"[162.0, 349.0, 500.0, 500.0, 500.0, 247.0, 500.0, 363.0, 143.0, 144.0]",add a classical layer
"['C', 50, 'T', 'C', 13, 'R', 'C', 2, 'T', 'Q', 2, 'F', 3, 'C', 9, 'R', 'C', 55, 'T', 'C', 29, 'R', 'C', 42, 'R', 'C', 38, 'R', 'C', 1]",339.7,500,"[500.0, 17.0, 357.0, 500.0, 437.0, 500.0, 384.0, 317.0, 135.0, 250.0]",change the entanglement type of the ansatz
